SeqNo,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13
56,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.3,22.2,23.2,22.1,21.9,21.6
57,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.3,22.2,23.2,22.1,21.9,21.6
58,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
59,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
60,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
61,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
62,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
63,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
64,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
65,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
66,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
67,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
68,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
69,12001,22.65,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
70,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
71,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
72,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.6
73,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.6
74,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.6
75,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.6
76,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.6
77,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.6
78,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.6
79,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.6
80,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.6
81,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.7
82,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.7
83,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.6
84,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.7
85,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.6
86,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.6
87,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.7
88,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.7
89,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,21.9,21.7
90,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.2,22.1,22,21.7
91,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.25,22.1,21.9,21.7
92,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.3,22.1,22,21.7
93,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.3,22.2,21.9,21.7
94,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.3,22.1,21.9,21.7
95,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.35,22.1,21.9,21.7
96,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.4,22.1,21.9,21.7
97,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.4,22.1,21.9,21.7
98,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.4,22.1,21.9,21.6
99,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.4,22.1,21.9,21.7
100,12001,22.7,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.45,22.1,21.9,21.7
101,12001,22.75,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.1,21.9,21.7
102,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.1,21.9,21.7
103,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.1,21.9,21.7
104,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.1,21.9,21.7
105,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.1,21.9,21.7
106,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.1,21.9,21.7
107,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
108,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
109,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
110,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
111,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
112,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
113,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
114,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
115,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,22,21.7
116,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
117,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
118,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
119,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
120,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
121,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
122,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,22,21.7
123,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,22,21.7
124,12001,22.8,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
125,12001,22.85,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,22,21.7
126,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
127,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,22,21.7
128,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,22,21.7
129,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,22,21.7
130,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
131,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,22,21.7
132,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
133,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
134,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
135,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
136,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
137,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
138,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
139,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
140,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
141,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
142,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
143,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
144,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
145,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
146,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,22,21.7
147,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,22,21.7
148,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
149,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
150,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
151,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
152,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,22,21.7
153,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
154,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.7
155,12001,22.9,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.5,22.2,21.9,21.8
156,12001,22.95,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.55,22.2,21.9,21.7
157,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.2,21.9,21.7
158,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.2,21.9,21.7
159,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.7
160,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.7
161,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.8
162,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.7
163,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.7
164,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.7
165,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.8
166,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.7
167,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.7
168,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.8
169,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.8
170,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.8
171,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.2,21.9,21.8
172,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
173,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
174,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
175,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
176,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
177,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
178,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
179,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
180,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
181,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
182,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
183,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
184,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
185,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
186,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
187,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
188,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
189,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
190,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
191,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,21.9,21.8
192,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
193,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
194,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
195,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
196,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
197,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
198,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
199,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
200,12001,23,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
201,12001,23.05,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
202,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
203,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
204,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.2,22,21.8
205,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
206,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
207,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
208,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
209,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.6,22.3,22,21.8
210,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.65,22.3,22,21.8
211,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.7,22.3,22,21.8
212,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.7,22.3,22,21.8
213,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.75,22.3,21.9,21.8
214,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,21.9,21.8
215,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,21.9,21.8
216,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
217,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,21.9,21.8
218,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
219,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
220,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
221,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
222,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
223,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
224,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
225,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
226,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
227,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
228,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
229,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
230,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
231,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
232,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
233,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
234,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
235,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
236,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
237,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
238,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
239,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
240,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
241,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
242,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
243,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
244,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
245,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
246,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
247,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
248,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
249,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
250,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.9
251,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.9
252,12001,23.1,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
253,12001,23.15,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.9
254,12001,23.2,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.9
255,12001,23.2,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.9
256,12001,23.2,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.9
257,12001,23.2,22.2,22.2,22.3,22.4,22.9,22.2,22.2,23.8,22.3,22,21.9
258,12001,23.2,22.2,22.2,22.4,22.4,22.9,22.2,22.2,23.8,22.3,22,21.9
259,12001,23.2,22.2,22.2,22.4,22.4,22.9,22.2,22.2,23.8,22.3,22,21.8
260,12001,23.2,22.2,22.2,22.4,22.4,22.9,22.2,22.2,23.8,22.3,22,21.9
261,12001,23.2,22.2,22.2,22.4,22.4,22.9,22.2,22.2,23.75,22.3,22,21.9
262,12001,23.2,22.2,22.2,22.4,22.4,22.9,22.2,22.2,23.7,22.3,22,21.9
263,12001,23.2,22.2,22.2,22.4,22.4,22.9,22.2,22.2,23.7,22.3,22,21.9
264,12001,23.2,22.2,22.2,22.4,22.4,22.9,22.2,22.2,23.7,22.3,22,21.9
265,12001,23.2,22.2,22.2,22.4,22.4,22.9,22.2,22.2,23.7,22.3,22,21.9
266,12001,23.2,22.2,22.2,22.4,22.4,22.9,22.2,22.2,23.7,22.3,22,21.9
267,12001,23.2,22.2,22.2,22.4,22.4,22.9,22.2,22.2,23.7,22.3,22,21.9
268,12001,23.2,22.2,22.2,22.4,22.4,22.9,22.2,22.2,23.7,22.3,22,21.9
269,12001,23.2,22.2,22.2,22.4,22.4,22.9,22.2,22.2,23.7,22.3,22,21.9
