Seq,MLP_13-128-256-128-1_0.8_mean,MLP_13-128-256-128-1_0.8_median,MLP_13-128-256-128-1_0.9_mean,MLP_13-128-256-256-256-128-1_mean,,Average output
146,8.339928627,9.625160217,9.133955956,6.141434193,,8.310119748
147,8.339928627,9.625160217,9.133955956,6.141434193,,8.310119748
148,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
149,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
150,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
151,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
152,8.339928627,9.625160217,9.133955956,6.141434193,,8.310119748
153,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
154,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
155,8.587240219,10.0483036,9.480436325,7.47410965,,8.897522448
156,8.805718422,10.19359779,9.638381004,7.560073853,,9.049442767
157,9.293859482,10.69889259,10.11137676,7.671356201,,9.443871258
158,9.293859482,10.69889259,10.11137676,7.671356201,,9.443871258
159,9.28360939,10.69873238,10.10645103,7.631263733,,9.430014133
160,9.28360939,10.69873238,10.10645103,7.631263733,,9.430014133
161,9.559398651,11.05170059,10.28325558,7.68631506,,9.64516747
162,9.28360939,10.69873238,10.10645103,7.631263733,,9.430014133
163,9.28360939,10.69873238,10.10645103,7.631263733,,9.430014133
164,9.28360939,10.69873238,10.10645103,7.631263733,,9.430014133
165,9.559398651,11.05170059,10.28325558,7.68631506,,9.64516747
166,9.28360939,10.69873238,10.10645103,7.631263733,,9.430014133
167,9.28360939,10.69873238,10.10645103,7.631263733,,9.430014133
168,9.559398651,11.05170059,10.28325558,7.68631506,,9.64516747
169,9.559398651,11.05170059,10.28325558,7.68631506,,9.64516747
170,9.559398651,11.05170059,10.28325558,7.68631506,,9.64516747
171,9.559398651,11.05170059,10.28325558,7.68631506,,9.64516747
172,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
173,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
174,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
175,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
176,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
177,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
178,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
179,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
180,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
181,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
182,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
183,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
184,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
185,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
186,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
187,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
188,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
189,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
190,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
191,9.488218307,10.96824455,10.24843884,7.737905979,,9.610701919
192,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
193,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
194,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
195,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
196,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
197,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
198,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
199,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
200,9.494737625,10.9029541,10.21664333,7.154772282,,9.442276834
201,9.993331909,11.41886139,10.67766571,7.767246723,,9.964276433
202,10.50059223,11.91911125,11.1658392,8.330820084,,10.47909069
203,10.50059223,11.91911125,11.1658392,8.330820084,,10.47909069
204,10.57598305,11.99261856,11.22320366,8.182734489,,10.49363494
205,10.50059223,11.91911125,11.1658392,8.330820084,,10.47909069
206,10.50059223,11.91911125,11.1658392,8.330820084,,10.47909069
207,10.50059223,11.91911125,11.1658392,8.330820084,,10.47909069
208,10.50059223,11.91911125,11.1658392,8.330820084,,10.47909069
209,10.50059223,11.91911125,11.1658392,8.330820084,,10.47909069
210,10.49448395,11.92742348,11.10918903,8.328654289,,10.46493769
211,10.48837662,11.9357357,11.09794712,8.321843147,,10.46097565
212,10.48837662,11.9357357,11.09794712,8.321843147,,10.46097565
213,10.48585987,11.97976494,11.23524761,8.348500252,,10.51234317
214,10.48273849,11.98807335,11.22381496,8.341291428,,10.50897956
215,10.48273849,11.98807335,11.22381496,8.341291428,,10.50897956
216,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
217,10.48273849,11.98807335,11.22381496,8.341291428,,10.50897956
218,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
219,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
220,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
221,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
222,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
223,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
224,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
225,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
226,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
227,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
228,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
229,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
230,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
231,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
232,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
233,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
234,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
235,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
236,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
237,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
238,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
239,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
240,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
241,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
242,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
243,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
244,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
245,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
246,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
247,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
248,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
249,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
250,10.78833675,12.29187202,11.35912514,9.015255928,,10.86364746
251,10.78833675,12.29187202,11.35912514,9.015255928,,10.86364746
252,10.47612,11.94202042,11.07546616,8.306994438,,10.45015025
253,11.33334351,12.79174232,11.84733486,9.482488632,,11.36372733
254,11.88988113,13.29449463,12.46153736,9.891936302,,11.88446236
255,11.88988113,13.29449463,12.46153736,9.891936302,,11.88446236
256,11.88988113,13.29449463,12.46153736,9.891936302,,11.88446236
257,11.88988113,13.29449463,12.46153736,9.891936302,,11.88446236
258,10.61184978,12.0557251,11.68564796,9.202003479,,10.88880658
259,10.31427288,11.69624329,11.46946621,8.458003998,,10.48449659
260,10.61184978,12.0557251,11.68564796,9.202003479,,10.88880658
261,10.60668659,12.05195808,11.75086308,9.213381767,,10.90572238
262,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
263,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
264,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
265,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
266,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
267,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
268,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
269,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
270,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
271,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
272,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
273,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
274,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
275,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
276,10.60803413,12.04317284,11.8947649,9.2247715,,10.94268584
277,10.60668659,12.05195808,11.75086308,9.213381767,,10.90572238
278,10.61184978,12.0557251,11.68564796,9.202003479,,10.88880658
279,10.65857124,12.13367653,11.85726643,9.11863327,,10.94203687
280,10.68112946,12.14273453,11.84062958,9.081313133,,10.93645168
281,10.68112946,12.14273453,11.84062958,9.081313133,,10.93645168
282,10.70946598,12.15179062,11.82399273,9.053266525,,10.93462896
283,10.73587132,12.16084862,11.80735397,9.031697273,,10.9339428
284,10.73587132,12.16084862,11.80735397,9.031697273,,10.9339428
285,10.73587132,12.16084862,11.80735397,9.031697273,,10.9339428
286,10.73587132,12.16084862,11.80735397,9.031697273,,10.9339428
287,10.73587132,12.16084862,11.80735397,9.031697273,,10.9339428
288,10.70435238,12.0600872,11.62440491,9.095234871,,10.87101984
289,10.70435238,12.0600872,11.62440491,9.095234871,,10.87101984
290,10.70435238,12.0600872,11.62440491,9.095234871,,10.87101984
291,10.73587132,12.16084862,11.80735397,9.031697273,,10.9339428
292,10.73587132,12.16084862,11.80735397,9.031697273,,10.9339428
293,10.70435238,12.0600872,11.62440491,9.095234871,,10.87101984
294,10.73587132,12.16084862,11.80735397,9.031697273,,10.9339428
295,10.70435238,12.0600872,11.62440491,9.095234871,,10.87101984
296,10.73587132,12.16084862,11.80735397,9.031697273,,10.9339428
297,10.67645359,12.05953598,11.63953209,9.11900425,,10.87363148
298,10.68112946,12.14273453,11.84062958,9.081313133,,10.93645168
299,10.68112946,12.14273453,11.84062958,9.081313133,,10.93645168
300,10.68112946,12.14273453,11.84062958,9.081313133,,10.93645168
301,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
302,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
303,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
304,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
305,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
306,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
307,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
308,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
309,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
310,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
311,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
312,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
313,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
314,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
315,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
316,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
317,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
318,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
319,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
320,10.68112946,12.14273453,11.84062958,9.081313133,,10.93645168
321,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
322,10.65429497,12.05880356,11.65469933,9.158929825,,10.88168192
323,10.68112946,12.14273453,11.84062958,9.081313133,,10.93645168
324,10.65857124,12.13367653,11.85726643,9.11863327,,10.94203687
325,10.63722897,12.12202072,11.86913204,9.159715652,,10.94702435
326,10.63722897,12.12202072,11.86913204,9.159715652,,10.94702435
327,10.61184978,12.0557251,11.68564796,9.202003479,,10.88880658
328,10.63722897,12.12202072,11.86913204,9.159715652,,10.94702435
329,10.63722897,12.12202072,11.86913204,9.159715652,,10.94702435
330,10.63722897,12.12202072,11.86913204,9.159715652,,10.94702435
331,11.19337177,12.63436317,12.40436172,9.615510941,,11.4619019
332,11.75052071,13.16462898,12.94468021,10.02950478,,11.97233367
333,11.75052071,13.16462898,12.94468021,10.02950478,,11.97233367
334,11.75052071,13.16462898,12.94468021,10.02950478,,11.97233367
335,11.72521591,13.08997345,12.84956551,10.00584888,,11.91765094
336,11.75052071,13.16462898,12.94468021,10.02950478,,11.97233367
337,11.64377785,12.99607658,13.18088055,10.15290833,,11.99341083
338,11.67043686,13.05971527,13.11783123,10.19099426,,12.00974441
339,11.70103359,13.07130814,12.96478653,10.16256618,,11.97492361
340,11.73131657,13.0861969,12.87089539,10.14456463,,11.95824337
341,10.83803177,12.21382141,12.43260288,9.519179344,,11.25090885
342,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
343,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
344,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
345,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
346,10.86618423,12.34395218,12.43902111,9.231241226,,11.22009969
347,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
348,10.86618423,12.34395218,12.43902111,9.231241226,,11.22009969
349,10.86618423,12.34395218,12.43902111,9.231241226,,11.22009969
350,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
351,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
352,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
353,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
354,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
355,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
356,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
357,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
358,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
359,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
360,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
361,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
362,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
363,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
364,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
365,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
366,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
367,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
368,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
369,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
370,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
371,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
372,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
373,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
374,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
375,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
376,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
377,10.84331036,12.23191452,12.4194231,9.458133698,,11.23819542
378,10.83803177,12.21382141,12.43260288,9.519179344,,11.25090885
379,10.84327412,12.194561,12.44182873,9.579928398,,11.26489806
380,10.84327412,12.194561,12.44182873,9.579928398,,11.26489806
381,10.84327412,12.194561,12.44182873,9.579928398,,11.26489806
382,10.85343933,12.14473152,12.41267776,9.604599953,,11.25386214
383,10.84327412,12.194561,12.44182873,9.579928398,,11.26489806
384,10.84327412,12.194561,12.44182873,9.579928398,,11.26489806
385,10.85343933,12.14473152,12.41267776,9.604599953,,11.25386214
386,11.10604,12.44694328,13.2564621,10.17073917,,11.74504614
387,11.10929966,12.50345421,13.11922455,10.20992756,,11.73547649
388,10.85343933,12.14473152,12.41267776,9.604599953,,11.25386214
389,11.10604,12.44694328,13.2564621,10.17073917,,11.74504614
390,10.85343933,12.14473152,12.41267776,9.604599953,,11.25386214
391,10.85343933,12.14473152,12.41267776,9.604599953,,11.25386214
392,10.85343933,12.14473152,12.41267776,9.604599953,,11.25386214
393,10.85343933,12.14473152,12.41267776,9.604599953,,11.25386214
394,10.85343933,12.14473152,12.41267776,9.604599953,,11.25386214
395,11.10604,12.44694328,13.2564621,10.17073917,,11.74504614
396,10.85343933,12.14473152,12.41267776,9.604599953,,11.25386214
397,10.85343933,12.14473152,12.41267776,9.604599953,,11.25386214
398,11.10604,12.44694328,13.2564621,10.17073917,,11.74504614
399,11.10604,12.44694328,13.2564621,10.17073917,,11.74504614
400,11.10604,12.44694328,13.2564621,10.17073917,,11.74504614
401,11.10604,12.44694328,13.2564621,10.17073917,,11.74504614
402,11.10604,12.44694328,13.2564621,10.17073917,,11.74504614
403,11.10604,12.44694328,13.2564621,10.17073917,,11.74504614
404,11.10604,12.44694328,13.2564621,10.17073917,,11.74504614
405,11.10604,12.44694328,13.2564621,10.17073917,,11.74504614
406,11.10604,12.44694328,13.2564621,10.17073917,,11.74504614
407,11.11450958,12.52026749,12.96509457,10.17926788,,11.69478488
408,11.12140083,12.5381279,12.81096554,10.1479311,,11.65460634
409,11.13011551,12.5559864,12.73709202,10.08981514,,11.62825227
410,11.13959122,12.56488991,12.71875954,10.04628181,,11.61738062
411,10.85589314,12.26878166,12.38199806,9.369407654,,11.21902013
412,11.13959122,12.56488991,12.71875954,10.04628181,,11.61738062
413,10.85589314,12.26878166,12.38199806,9.369407654,,11.21902013
414,10.85589314,12.26878166,12.38199806,9.369407654,,11.21902013
415,10.85589314,12.26878166,12.38199806,9.369407654,,11.21902013
416,10.85589314,12.26878166,12.38199806,9.369407654,,11.21902013
417,10.85589314,12.26878166,12.38199806,9.369407654,,11.21902013
418,10.85633659,12.2093544,12.27470016,9.430212021,,11.19265079
